iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 31, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"704,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","637,592,757.23","0.20","637,592,757.23","12,091,651.00","52.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","634,163,695.80","0.20","634,163,695.80","2,751,730.00","230.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","631,257,708.80","0.20","631,257,708.80","18,447,040.00","34.22","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","614,191,534.40","0.19","614,191,534.40","8,838,560.00","69.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","610,580,680.38","0.19","610,580,680.38","1,029,057.00","593.34","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","608,416,496.94","0.19","608,416,496.94","2,394,021.00","254.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Information Technology","Equity","607,320,329.68","0.19","607,320,329.68","5,064,379.00","119.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EL","ESTEE LAUDER INC CLASS A","Consumer Staples","Equity","602,198,065.38","0.19","602,198,065.38","1,931,422.00","311.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","595,030,000.00","0.19","595,030,000.00","595,030,000.00","1.00","United States","-","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","594,433,112.40","0.19","594,433,112.40","4,693,140.00","126.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","577,861,873.30","0.18","577,861,873.30","7,008,634.00","82.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","572,657,564.85","0.18","572,657,564.85","1,998,735.00","286.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","567,555,315.60","0.18","567,555,315.60","5,197,393.00","109.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","553,464,778.56","0.17","553,464,778.56","2,366,043.00","233.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","550,465,057.57","0.17","550,465,057.57","2,023,843.00","271.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","544,736,906.70","0.17","544,736,906.70","6,753,495.00","80.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","544,033,325.04","0.17","544,033,325.04","4,880,098.00","111.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","543,046,511.70","0.17","543,046,511.70","749,133.00","724.90","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","534,013,381.40","0.17","534,013,381.40","877,460.00","608.59","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","531,125,516.28","0.17","531,125,516.28","4,887,958.00","108.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","529,667,169.06","0.17","529,667,169.06","4,896,618.00","108.17","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","525,266,901.93","0.16","525,266,901.93","3,315,451.00","158.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Information Technology","Equity","523,879,747.30","0.16","523,879,747.30","4,956,289.00","105.70","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","519,556,843.92","0.16","519,556,843.92","3,540,904.00","146.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","519,176,126.04","0.16","519,176,126.04","1,840,267.00","282.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","512,745,328.45","0.16","512,745,328.45","2,109,629.00","243.05","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","512,581,325.50","0.16","512,581,325.50","6,487,550.00","79.01","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","510,562,209.30","0.16","510,562,209.30","11,901,217.00","42.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","506,632,693.76","0.16","506,632,693.76","1,832,704.00","276.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","497,067,455.00","0.16","497,067,455.00","2,021,750.00","245.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","496,701,784.88","0.16","496,701,784.88","2,933,336.00","169.33","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","490,440,105.19","0.15","490,440,105.19","1,259,897.00","389.27","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","480,757,046.12","0.15","480,757,046.12","3,195,673.00","150.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","477,165,868.85","0.15","477,165,868.85","1,987,777.00","240.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","471,508,610.35","0.15","471,508,610.35","8,136,473.00","57.95","United States","NASDAQ","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","463,001,294.00","0.15","463,001,294.00","1,349,858.00","343.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","458,787,044.89","0.14","458,787,044.89","1,836,691.00","249.79","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","458,097,198.75","0.14","458,097,198.75","4,982,025.00","91.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","458,068,624.20","0.14","458,068,624.20","1,238,358.00","369.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","457,459,963.89","0.14","457,459,963.89","11,708,727.00","39.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","456,868,167.66","0.14","456,868,167.66","12,274,803.00","37.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","455,897,067.69","0.14","455,897,067.69","1,271,573.00","358.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
